Ran for I = 111.977, e0=0.003, amp=0.074
Ran for I = 112.017, e0=0.003, amp=0.074
Ran for I = 112.057, e0=0.003, amp=0.074
Ran for I = 112.097, e0=0.003, amp=0.074
Ran for I = 112.137, e0=0.003, amp=0.075
Ran for I = 112.177, e0=0.003, amp=0.075
Ran for I = 112.217, e0=0.003, amp=0.075
Ran for I = 112.257, e0=0.003, amp=0.075
Ran for I = 112.297, e0=0.003, amp=0.075
Ran for I = 112.337, e0=0.003, amp=0.075
Ran for I = 112.377, e0=0.003, amp=0.075
Ran for I = 112.417, e0=0.003, amp=0.076
Ran for I = 112.457, e0=0.003, amp=0.076
Ran for I = 112.497, e0=0.003, amp=0.076
Ran for I = 112.538, e0=0.003, amp=0.076
Ran for I = 112.578, e0=0.003, amp=0.076
Ran for I = 112.618, e0=0.003, amp=0.076
Ran for I = 112.658, e0=0.003, amp=0.076
Ran for I = 112.698, e0=0.003, amp=0.076
Ran for I = 112.738, e0=0.003, amp=0.077
Ran for I = 112.778, e0=0.003, amp=0.077
Ran for I = 112.818, e0=0.003, amp=0.077
Ran for I = 112.858, e0=0.003, amp=0.077
Ran for I = 112.898, e0=0.003, amp=0.077
Ran for I = 112.938, e0=0.003, amp=0.077
Ran for I = 112.978, e0=0.003, amp=0.078
Ran for I = 113.018, e0=0.003, amp=0.078
Ran for I = 113.058, e0=0.003, amp=0.078
Ran for I = 113.098, e0=0.003, amp=0.078
Ran for I = 113.138, e0=0.003, amp=0.078
Ran for I = 113.178, e0=0.003, amp=0.078
Ran for I = 113.218, e0=0.003, amp=0.079
Ran for I = 113.258, e0=0.003, amp=0.079
Ran for I = 113.298, e0=0.003, amp=0.079
Ran for I = 113.338, e0=0.003, amp=0.079
Ran for I = 113.378, e0=0.003, amp=0.079
Ran for I = 113.418, e0=0.003, amp=0.079
Ran for I = 113.458, e0=0.003, amp=0.079
Ran for I = 113.498, e0=0.003, amp=0.080
Ran for I = 113.539, e0=0.003, amp=0.080
Ran for I = 113.579, e0=0.003, amp=0.080
Ran for I = 113.619, e0=0.003, amp=0.080
Ran for I = 113.659, e0=0.003, amp=0.080
Ran for I = 113.699, e0=0.003, amp=0.080
Ran for I = 113.739, e0=0.003, amp=0.081
Ran for I = 113.779, e0=0.003, amp=0.081
Ran for I = 113.819, e0=0.003, amp=0.081
