Ran for I = 114.660, e0=0.003, amp=6.564
Ran for I = 114.700, e0=0.003, amp=6.469
Ran for I = 114.740, e0=0.003, amp=6.366
Ran for I = 114.780, e0=0.003, amp=6.256
Ran for I = 114.820, e0=0.003, amp=6.055
Ran for I = 114.860, e0=0.003, amp=6.010
Ran for I = 114.900, e0=0.003, amp=5.879
Ran for I = 114.940, e0=0.003, amp=5.736
Ran for I = 114.980, e0=0.003, amp=5.584
Ran for I = 115.020, e0=0.003, amp=5.422
Ran for I = 115.060, e0=0.003, amp=5.250
Ran for I = 115.100, e0=0.003, amp=5.067
Ran for I = 115.140, e0=0.003, amp=4.871
Ran for I = 115.180, e0=0.003, amp=4.663
Ran for I = 115.220, e0=0.003, amp=4.438
Ran for I = 115.260, e0=0.003, amp=4.205
Ran for I = 115.300, e0=0.003, amp=3.954
Ran for I = 115.340, e0=0.003, amp=3.685
Ran for I = 115.380, e0=0.003, amp=3.398
Ran for I = 115.420, e0=0.003, amp=3.047
Ran for I = 115.460, e0=0.003, amp=2.771
Ran for I = 115.501, e0=0.003, amp=2.425
Ran for I = 115.541, e0=0.003, amp=2.051
Ran for I = 115.581, e0=0.003, amp=1.661
Ran for I = 115.621, e0=0.003, amp=1.246
Ran for I = 115.661, e0=0.003, amp=0.799
Ran for I = 115.701, e0=0.003, amp=0.323
Ran for I = 115.741, e0=0.003, amp=0.184
Ran for I = 115.781, e0=0.003, amp=0.725
Ran for I = 115.821, e0=0.003, amp=1.302
Ran for I = 115.861, e0=0.003, amp=1.916
Ran for I = 115.901, e0=0.003, amp=2.575
Ran for I = 115.941, e0=0.003, amp=3.268
Ran for I = 115.981, e0=0.003, amp=4.021
Ran for I = 116.021, e0=0.003, amp=4.816
Ran for I = 116.061, e0=0.003, amp=5.662
Ran for I = 116.101, e0=0.003, amp=6.568
Ran for I = 116.141, e0=0.003, amp=7.529
Ran for I = 116.181, e0=0.003, amp=8.522
Ran for I = 116.221, e0=0.003, amp=9.643
Ran for I = 116.261, e0=0.003, amp=10.780
Ran for I = 116.301, e0=0.003, amp=12.030
Ran for I = 116.341, e0=0.003, amp=13.335
Ran for I = 116.381, e0=0.003, amp=14.717
Ran for I = 116.421, e0=0.003, amp=16.180
Ran for I = 116.461, e0=0.003, amp=17.703
Ran for I = 116.502, e0=0.003, amp=19.348
Ran for I = 116.542, e0=0.003, amp=21.069
Ran for I = 116.582, e0=0.003, amp=22.866
Ran for I = 116.622, e0=0.003, amp=24.749
Ran for I = 116.662, e0=0.003, amp=26.717
Ran for I = 116.702, e0=0.003, amp=28.750
Ran for I = 116.742, e0=0.003, amp=30.757
Ran for I = 116.782, e0=0.003, amp=33.049
Ran for I = 116.822, e0=0.003, amp=35.281
Ran for I = 116.862, e0=0.003, amp=37.551
Ran for I = 116.902, e0=0.003, amp=39.858
Ran for I = 116.942, e0=0.003, amp=42.149
Ran for I = 116.982, e0=0.003, amp=44.476
Ran for I = 117.022, e0=0.003, amp=46.752
Ran for I = 117.062, e0=0.003, amp=48.988
Ran for I = 117.102, e0=0.003, amp=51.084
Ran for I = 117.142, e0=0.003, amp=53.215
Ran for I = 117.182, e0=0.003, amp=55.149
Ran for I = 117.222, e0=0.003, amp=56.964
Ran for I = 117.262, e0=0.003, amp=58.601
Ran for I = 117.302, e0=0.003, amp=60.054
Ran for I = 117.342, e0=0.003, amp=61.300
